Start,End,Open,High,Low,Close,Volume,Market Cap
2024-04-11,2024-04-12,70436.71,71247.81,69587.99,70112.05,163489095573.64807,1386263944818.6794
2024-04-10,2024-04-11,69125.17,71078.17,67590.15,70513.6,158897314058.67133,1361469272569.1853
2024-04-09,2024-04-10,71618.12,71714.42,68442.77,69198.22,132405536996.62369,1380410966413.7388
2024-04-08,2024-04-09,69263.8,72724.2,69169.74,71631.77,53155607159.01742,1398900186130.641
2024-04-07,2024-04-08,68875.43,70242.04,68850.36,69388.74,38663785982.0662,1365423108442.9023
2024-04-06,2024-04-07,67729.96,69566.35,67492.52,68904.86,48035020047.05575,1338711116887.5818
2024-04-05,2024-04-06,68333.72,68613.19,66099.34,67928.77,65431097628.58885,1327731241833.481
2024-04-04,2024-04-05,65988.91,69060,65139.94,68461.23,54093502745.375435,1316260215044.4526
2024-04-03,2024-04-04,65481.2,66778.9,64792.98,66074.16,72683290299.31708,1298762245947.2822
2024-04-02,2024-04-03,69609,69609,64706.05,65448.35,76080801183.79442,1304804603707.9546
2024-04-01,2024-04-02,71249.59,71249.59,68246.03,69731.26,48213190568.56795,1370832809192.8083
2024-03-31,2024-04-01,69632.92,71345.73,69632.92,71216.98,33673828685.770035,1385292796666.6482
2024-03-30,2024-03-31,69820.05,70255.82,69560.02,69674.78,39661443298.87108,1375968719915.885
2024-03-29,2024-03-30,70803.3,70893.95,69130.05,69850.52,51441857848.83916,1377166578767.472
2024-03-28,2024-03-29,69472.86,71529.96,69000.37,70702.74,67566089680.905594,1384857408884.182
2024-03-27,2024-03-28,70002.7,71645.99,68515.98,69529.85,66019648699.31359,1372129179583.519
2024-03-26,2024-03-27,69765.16,71489.41,69468.56,70059.97,73479585404.67596,1383063448066.3345
2024-03-25,2024-03-26,66966.03,70929.95,66463.94,69901.99,59756954837.76307,1343279136900.31
2024-03-24,2024-03-25,64157.98,67577.97,63800.19,67246.83,45024109438.60279,1282255280833.2717
2024-03-23,2024-03-24,63699.97,65980.04,63119.94,64238.03,64374279822.71777,1269372119564.4844
2024-03-22,2024-03-23,65533.28,66630,62572.56,63567.63,70777227682.32518,1270908236262.6782
2024-03-21,2024-03-22,67740.03,68091.76,64650.4,65476.17,95859014036.51917,1310224116988.655
2024-03-20,2024-03-21,61915.99,67982.18,60941.74,67854.02,115422036266.33101,1255442147261.359
2024-03-19,2024-03-20,67749.95,68096.05,61624.96,61981.15,102161122550.67596,1265125254132.561
2024-03-18,2024-03-19,68308.53,68920.04,66689.99,67711.55,70679197775.8432,1331893732824.0244
2024-03-17,2024-03-18,66031.71,68870.99,64949.86,68650.08,84278484629.36586,1318367503672.8572
2024-03-16,2024-03-17,69561.38,69931.27,65249.77,65286.52,91914290138.35541,1341113353922.899
2024-03-15,2024-03-16,71536.18,72305.13,65867.11,69532.18,124937923879.67831,1348026241710.3916
